NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Paul George,1.5,0.6,0.3,0.2,0.587,0.413
Andre Drummond,0.5,0.2,0.5,0.53,0.456,0.544
Gradey Dick,0.5,0.4,0.6,0.53,0.587,0.413
Jalen Brunson,0.5,0.4,0.4,0.53,0.342,0.658
Karl-Anthony Towns,0.5,0.2,0.5,0.47,0.555,0.445
Mitchell Robinson,0.5,0.4,0.5,0.33,0.577,0.423
Payton Pritchard,0.5,0.4,0.3,0.4,0.387,0.613
Jaylen Wells,0.5,0.6,0.7,0.47,0.624,0.376
Luke Kornet,0.5,0.2,0.2,0.13,0.262,0.738
Santi Aldama,0.5,0.6,0.6,0.53,0.553,0.447
Cam Spencer,0.5,0.8,0.7,0.6,0.479,0.521
Rudy Gobert,0.5,0.0,0.2,0.33,0.294,0.706
Cason Wallace,1.5,0.6,0.6,0.6,0.579,0.421
Shai Gilgeous-Alexander,1.5,0.4,0.7,0.6,0.606,0.394
Buddy Hield,0.5,0.8,0.7,0.67,0.64,0.36
Gary Payton II,0.5,0.4,0.6,0.53,0.523,0.477
Will Richard,0.5,0.4,0.6,0.67,0.598,0.402
