NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
Paolo Banchero,player_rebounds,7.5,3,0.6,6,0.6,8,0.53
Ryan Kalkbrenner,player_rebounds,7.0,1,0.2,1,0.1,1,0.07
Miles Bridges,player_rebounds,6.5,2,0.4,3,0.3,5,0.33
LaMelo Ball,player_rebounds,6.0,3,0.6,3,0.3,6,0.4
Franz Wagner,player_rebounds,5.0,3,0.6,5,0.5,8,0.53
Desmond Bane,player_rebounds,4.5,3,0.6,8,0.8,8,0.53
Kon Knueppel,player_rebounds,4.0,2,0.4,2,0.2,2,0.13
Anthony Black,player_rebounds,3.5,2,0.4,5,0.5,7,0.47
Sion James,player_rebounds,2.5,2,0.4,2,0.2,2,0.13
Giannis Antetokounmpo,player_rebounds,12.0,3,0.6,6,0.6,7,0.47
Jonathan Kuminga,player_rebounds,6.0,2,0.4,4,0.4,5,0.33
Bobby Portis,player_rebounds,6.0,3,0.6,7,0.7,11,0.73
Draymond Green,player_rebounds,5.5,2,0.4,4,0.4,6,0.4
Brandin Podziemski,player_rebounds,4.5,3,0.6,7,0.7,11,0.73
Isaiah Hartenstein,player_rebounds,11.0,4,0.8,4,0.4,5,0.33
Alex Sarr,player_rebounds,7.5,4,0.8,5,0.5,5,0.33
Kyshawn George,player_rebounds,6.5,4,0.8,5,0.5,6,0.4
Aaron Wiggins,player_rebounds,5.0,3,0.6,4,0.4,4,0.27
Shai Gilgeous-Alexander,player_rebounds,5.0,3,0.6,5,0.5,7,0.47
Luguentz Dort,player_rebounds,4.5,3,0.6,5,0.5,6,0.4
Cason Wallace,player_rebounds,3.5,1,0.2,2,0.2,6,0.4
Ajay Mitchell,player_rebounds,3.5,2,0.4,2,0.2,4,0.27
Victor Wembanyama,player_rebounds,12.5,4,0.8,5,0.5,6,0.4
Bam Adebayo,player_rebounds,9.5,3,0.6,5,0.5,6,0.4
Kel'el Ware,player_rebounds,8.0,2,0.4,5,0.5,9,0.6
Stephon Castle,player_rebounds,5.0,4,0.8,6,0.6,9,0.6
Julian Champagnie,player_rebounds,4.5,4,0.8,6,0.6,8,0.53
Andrew Wiggins,player_rebounds,4.5,3,0.6,6,0.6,7,0.47
Dylan Harper,player_rebounds,4.0,3,0.6,3,0.3,3,0.2
Devin Vassell,player_rebounds,3.5,2,0.4,5,0.5,9,0.6
Simone Fontecchio,player_rebounds,2.5,3,0.6,4,0.4,6,0.4
Deandre Ayton,player_rebounds,10.5,1,0.2,3,0.3,6,0.4
Jarred Vanderbilt,player_rebounds,7.5,2,0.4,3,0.3,3,0.2
Jock Landale,player_rebounds,5.5,2,0.4,3,0.3,3,0.2
Jaylen Wells,player_rebounds,3.5,1,0.2,5,0.5,7,0.47
Christian Braun,player_rebounds,4.5,2,0.4,5,0.5,8,0.53
Jamal Murray,player_rebounds,3.5,3,0.6,8,0.8,12,0.8
Bruce Brown,player_rebounds,2.5,5,1.0,10,1.0,12,0.8
Zion Williamson,player_rebounds,6.5,2,0.4,5,0.5,8,0.53
Derik Queen,player_rebounds,4.5,3,0.6,3,0.3,3,0.2
Jeremiah Fears,player_rebounds,2.5,1,0.2,1,0.1,1,0.07
Chris Paul,player_rebounds,1.5,2,0.4,6,0.6,10,0.67
