NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
LaMelo Ball,player_assists,8.0,3,0.6,6,0.6,7,0.47
Paolo Banchero,player_assists,4.5,2,0.4,4,0.4,7,0.47
Collin Sexton,player_assists,4.0,3,0.6,5,0.5,7,0.47
Miles Bridges,player_assists,3.5,2,0.4,4,0.4,9,0.6
Desmond Bane,player_assists,3.5,1,0.2,3,0.3,7,0.47
Anthony Black,player_assists,2.5,1,0.2,3,0.3,5,0.33
Giannis Antetokounmpo,player_assists,7.0,2,0.4,6,0.6,6,0.4
Draymond Green,player_assists,5.5,2,0.4,3,0.3,5,0.33
Stephen Curry,player_assists,5.0,3,0.6,5,0.5,9,0.6
Ryan Rollins,player_assists,4.0,1,0.2,2,0.2,4,0.27
Shai Gilgeous-Alexander,player_assists,6.5,1,0.2,5,0.5,8,0.53
Khris Middleton,player_assists,2.5,2,0.4,5,0.5,8,0.53
Davion Mitchell,player_assists,6.5,3,0.6,6,0.6,10,0.67
Stephon Castle,player_assists,5.5,3,0.6,6,0.6,10,0.67
Bam Adebayo,player_assists,3.5,2,0.4,6,0.6,9,0.6
Andrew Wiggins,player_assists,2.5,2,0.4,7,0.7,9,0.6
Keldon Johnson,player_assists,1.5,1,0.2,5,0.5,9,0.6
Austin Reaves,player_assists,8.5,3,0.6,3,0.3,3,0.2
Kentavious Caldwell-Pope,player_assists,2.5,5,1.0,7,0.7,8,0.53
Santi Aldama,player_assists,2.5,2,0.4,4,0.4,7,0.47
Cedric Coward,player_assists,1.5,3,0.6,3,0.3,3,0.2
Deni Avdija,player_assists,4.5,3,0.6,6,0.6,9,0.6
Aaron Gordon,player_assists,2.5,3,0.6,7,0.7,10,0.67
Christian Braun,player_assists,2.5,3,0.6,7,0.7,9,0.6
Jerami Grant,player_assists,1.5,2,0.4,4,0.4,7,0.47
Chris Paul,player_assists,3.5,3,0.6,6,0.6,11,0.73
Kawhi Leonard,player_assists,3.5,3,0.6,4,0.4,6,0.4
