NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
LaMelo Ball,player_points_rebounds_assists,40.5,2,0.4,3,0.3,5,0.33
Paolo Banchero,player_points_rebounds_assists,39.5,2,0.4,4,0.4,7,0.47
Miles Bridges,player_points_rebounds_assists,30.5,2,0.4,3,0.3,4,0.27
Franz Wagner,player_points_rebounds_assists,30.5,3,0.6,8,0.8,12,0.8
Desmond Bane,player_points_rebounds_assists,28.0,1,0.2,5,0.5,7,0.47
Collin Sexton,player_points_rebounds_assists,26.5,2,0.4,5,0.5,7,0.47
Kon Knueppel,player_points_rebounds_assists,19.5,2,0.4,2,0.2,2,0.13
Anthony Black,player_points_rebounds_assists,18.5,2,0.4,4,0.4,6,0.4
Ryan Kalkbrenner,player_points_rebounds_assists,15.5,3,0.6,3,0.3,3,0.2
Tre Mann,player_points_rebounds_assists,15.5,2,0.4,4,0.4,8,0.53
Tristan da Silva,player_points_rebounds_assists,14.5,3,0.6,5,0.5,6,0.4
Sion James,player_points_rebounds_assists,9.5,3,0.6,3,0.3,3,0.2
Giannis Antetokounmpo,player_points_rebounds_assists,49.5,5,1.0,8,0.8,9,0.6
Stephen Curry,player_points_rebounds_assists,36.5,3,0.6,6,0.6,8,0.53
Jonathan Kuminga,player_points_rebounds_assists,25.5,2,0.4,3,0.3,4,0.27
Myles Turner,player_points_rebounds_assists,21.5,1,0.2,5,0.5,8,0.53
Draymond Green,player_points_rebounds_assists,20.5,3,0.6,4,0.4,7,0.47
Ryan Rollins,player_points_rebounds_assists,19.0,3,0.6,4,0.4,7,0.47
Brandin Podziemski,player_points_rebounds_assists,18.5,3,0.6,7,0.7,10,0.67
Cole Anthony,player_points_rebounds_assists,18.5,1,0.2,2,0.2,5,0.33
Bobby Portis,player_points_rebounds_assists,16.5,3,0.6,7,0.7,12,0.8
Kyle Kuzma,player_points_rebounds_assists,12.5,2,0.4,7,0.7,12,0.8
Al Horford,player_points_rebounds_assists,12.5,3,0.6,8,0.8,13,0.87
Buddy Hield,player_points_rebounds_assists,9.5,1,0.2,5,0.5,9,0.6
Isaiah Hartenstein,player_points_rebounds_assists,25.5,3,0.6,4,0.4,8,0.53
Shai Gilgeous-Alexander,player_points_rebounds_assists,45.5,2,0.4,3,0.3,4,0.27
Alex Sarr,player_points_rebounds_assists,25.5,3,0.6,4,0.4,6,0.4
Kyshawn George,player_points_rebounds_assists,24.5,3,0.6,4,0.4,5,0.33
Aaron Wiggins,player_points_rebounds_assists,23.5,3,0.6,5,0.5,6,0.4
Ajay Mitchell,player_points_rebounds_assists,22.5,3,0.6,3,0.3,4,0.27
Khris Middleton,player_points_rebounds_assists,17.5,2,0.4,4,0.4,7,0.47
Cason Wallace,player_points_rebounds_assists,16.5,0,0.0,3,0.3,6,0.4
Luguentz Dort,player_points_rebounds_assists,16.5,3,0.6,5,0.5,7,0.47
Tre Johnson,player_points_rebounds_assists,16.5,3,0.6,3,0.3,3,0.2
Alex Caruso,player_points_rebounds_assists,14.0,2,0.4,5,0.5,6,0.4
Jaylin Williams,player_points_rebounds_assists,13.5,0,0.0,3,0.3,6,0.4
Cam Whitmore,player_points_rebounds_assists,11.5,4,0.8,7,0.7,8,0.53
Corey Kispert,player_points_rebounds_assists,10.5,3,0.6,8,0.8,11,0.73
Victor Wembanyama,player_points_rebounds_assists,45.5,2,0.4,3,0.3,4,0.27
Bam Adebayo,player_points_rebounds_assists,33.5,3,0.6,6,0.6,7,0.47
Stephon Castle,player_points_rebounds_assists,27.5,4,0.8,9,0.9,13,0.87
Andrew Wiggins,player_points_rebounds_assists,24.5,1,0.2,4,0.4,8,0.53
Devin Vassell,player_points_rebounds_assists,23.5,1,0.2,3,0.3,7,0.47
Dylan Harper,player_points_rebounds_assists,23.0,1,0.2,1,0.1,1,0.07
Kel'el Ware,player_points_rebounds_assists,21.0,2,0.4,5,0.5,7,0.47
Davion Mitchell,player_points_rebounds_assists,20.0,2,0.4,6,0.6,10,0.67
Keldon Johnson,player_points_rebounds_assists,18.5,3,0.6,5,0.5,8,0.53
Julian Champagnie,player_points_rebounds_assists,15.5,4,0.8,7,0.7,11,0.73
Harrison Barnes,player_points_rebounds_assists,14.5,2,0.4,6,0.6,9,0.6
Pelle Larsson,player_points_rebounds_assists,14.5,2,0.4,5,0.5,5,0.33
Simone Fontecchio,player_points_rebounds_assists,12.5,5,1.0,5,0.5,5,0.33
Austin Reaves,player_points_rebounds_assists,44.5,3,0.6,3,0.3,4,0.27
Ja Morant,player_points_rebounds_assists,37.5,2,0.4,6,0.6,9,0.6
Deandre Ayton,player_points_rebounds_assists,28.5,2,0.4,5,0.5,9,0.6
Jake LaRavia,player_points_rebounds_assists,22.5,1,0.2,1,0.1,1,0.07
