,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
0,Karl-Anthony Towns,1626157,NYK @ BOS,NYK,1610612752,BOS,0,1,0022400061,2024-10-22,L,24,12,3,7,5,9,0.556,1,2,0.5,1,1,1.0,0,7,0,0,0,1,-18,24.9,1.271,C,121.3,163.0,-41.8,0.0,0.318,0.175,0.167,0.0,0.184,0.636,95.36,94.51,0.122,78.76,"OCT 22, 2024",240,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,11,12,109,119.72759226713532,6.0,3.0,40.0,0.5052631578947369,1610612738,119.72759226713532,91.04,90.78000000000002,90.52
1,Dalton Knecht,1642261,LAL vs. MIN,LAL,1610612747,MIN,1,0,0022400062,2024-10-22,W,16,5,2,1,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,1,1,7,11.2,1.25,,129.4,115.6,13.8,0.0,0.063,0.031,0.118,2.0,0.122,0.625,102.12,100.36,0.07,83.63,"OCT 22, 2024",240,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,110,112.24489795918366,4.0,1.0,47.0,0.4117647058823529,1610612750,112.24489795918366,98.0,98.94,99.88
2,Jaden McDaniels,1630183,MIN @ LAL,MIN,1610612750,LAL,0,1,0022400062,2024-10-22,L,16,6,1,2,3,8,0.375,0,3,0.0,0,0,,0,2,1,0,1,5,-8,11.9,0.75,F,90.0,116.7,-26.7,0.0,0.105,0.059,0.143,1.0,0.243,0.375,95.76,90.0,-0.022,75.0,"OCT 22, 2024",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103,103.12374849819783,7.0,8.0,46.0,0.4421052631578947,1610612747,103.12374849819783,99.88,98.94,98.0
3,Naz Reid,1629675,MIN @ LAL,MIN,1610612750,LAL,0,1,0022400062,2024-10-22,L,26,12,1,4,3,8,0.375,2,4,0.5,4,4,1.0,1,3,0,0,1,3,-6,17.3,1.23,,115.1,124.1,-9.0,0.034,0.107,0.07,0.056,1.0,0.172,0.615,100.77,97.46,0.074,81.21,"OCT 22, 2024",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103,103.12374849819783,7.0,8.0,46.0,0.4421052631578947,1610612747,103.12374849819783,99.88,98.94,98.0
4,Nickeil Alexander-Walker,1629638,MIN @ LAL,MIN,1610612750,LAL,0,1,0022400062,2024-10-22,L,28,14,0,5,5,7,0.714,3,4,0.75,1,2,0.5,2,3,0,0,2,0,13,18.0,1.777,,135.2,107.1,28.0,0.063,0.097,0.079,0.0,0.0,0.147,0.888,95.47,93.07,0.124,77.56,"OCT 22, 2024",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103,103.12374849819783,7.0,8.0,46.0,0.4421052631578947,1610612747,103.12374849819783,99.88,98.94,98.0
5,Rui Hachimura,1629060,LAL vs. MIN,LAL,1610612747,MIN,1,0,0022400062,2024-10-22,W,35,18,1,5,7,14,0.5,1,4,0.25,3,4,0.75,3,2,2,1,0,2,19,34.5,1.142,F,129.0,102.9,26.0,0.077,0.053,0.065,0.034,0.0,0.19,0.571,99.68,93.72,0.126,78.1,"OCT 22, 2024",240,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,110,112.24489795918366,4.0,1.0,47.0,0.4117647058823529,1610612750,112.24489795918366,98.0,98.94,99.88
6,D'Angelo Russell,1626156,LAL vs. MIN,LAL,1610612747,MIN,1,0,0022400062,2024-10-22,W,34,9,5,1,4,12,0.333,1,7,0.143,0,0,,0,1,2,0,1,2,15,22.7,0.75,G,123.5,103.0,20.5,0.0,0.024,0.013,0.185,5.0,0.157,0.375,99.4,94.69,0.052,78.91,"OCT 22, 2024",240,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,110,112.24489795918366,4.0,1.0,47.0,0.4117647058823529,1610612750,112.24489795918366,98.0,98.94,99.88
7,Rudy Gobert,203497,MIN @ LAL,MIN,1610612750,LAL,0,1,0022400062,2024-10-22,L,35,13,2,14,5,8,0.625,0,0,,3,4,0.75,3,11,0,1,1,4,-10,34.8,1.332,C,104.3,120.3,-16.0,0.081,0.262,0.177,0.105,2.0,0.134,0.666,99.74,94.42,0.151,78.68,"OCT 22, 2024",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103,103.12374849819783,7.0,8.0,46.0,0.4421052631578947,1610612747,103.12374849819783,99.88,98.94,98.0
8,Mike Conley,201144,MIN @ LAL,MIN,1610612750,LAL,0,1,0022400062,2024-10-22,L,20,5,2,4,1,7,0.143,0,5,0.0,3,3,1.0,2,2,1,0,3,1,-22,12.8,0.601,G,78.0,135.0,-57.0,0.091,0.091,0.091,0.222,0.67,0.22,0.3,101.33,96.16,0.016,80.13,"OCT 22, 2024",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,15,22,103,103.12374849819783,7.0,8.0,46.0,0.4421052631578947,1610612747,103.12374849819783,99.88,98.94,98.0
9,Luke Kornet,1628436,BOS vs. NYK,BOS,1610612738,NYK,1,0,0022400061,2024-10-22,W,19,4,1,3,2,3,0.667,0,0,,0,0,,2,1,1,1,0,0,2,15.1,1.333,,147.2,137.8,9.4,0.133,0.059,0.094,0.059,0.0,0.077,0.667,91.2,90.7,0.068,75.58,"OCT 22, 2024",240,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,3,15,132,145.8241272646929,2.0,3.0,34.0,0.5512820512820513,1610612752,145.8241272646929,90.52,90.78000000000002,91.04
