PLAYER_ID,POSITION
201144,Guard
201143,Center-Forward
2544,Forward
200782,Forward
201145,Forward
201572,Center
201566,Guard
201587,Guard-Forward
201599,Center
201935,Guard
201939,Guard
201949,Forward
201950,Guard
201988,Guard
202684,Center-Forward
202692,Guard
202695,Forward
202699,Forward
202709,Guard
202710,Forward
203081,Guard
203110,Forward
203458,Center
203471,Guard
203484,Guard
203497,Center
203500,Center
203501,Guard-Forward
203507,Forward
203914,Guard
203932,Forward
203937,Forward-Guard
203944,Forward-Center
203992,Guard
203952,Forward
203999,Center
204001,Forward-Center
204456,Guard
1626153,Guard
1626157,Center-Forward
1626166,Guard
1626167,Center-Forward
1626171,Forward
1626172,Forward
1626181,Guard
1626192,Guard
1627732,Guard-Forward
1627736,Guard
1627739,Guard
1627741,Guard
1627750,Guard
1627752,Forward
1627780,Guard
1627783,Forward
1627826,Center
1627827,Forward
1627832,Guard
1627884,Forward
1627936,Guard
1628369,Forward-Guard
1628371,Forward
1628378,Guard
1628379,Guard
1628384,Forward-Guard
1628386,Center
1628389,Center-Forward
1628396,Center-Forward
1628392,Center-Forward
1628398,Forward
1628404,Guard
1628401,Guard
1628415,Guard-Forward
1628418,Center-Forward
1628436,Center-Forward
1628467,Forward
1628470,Forward
1628963,Forward
1628969,Guard-Forward
1628973,Guard
1628976,Center-Forward
1628978,Guard
1628983,Guard
1628988,Guard
1628991,Forward-Center
1628995,Forward
1629003,Guard
1629008,Forward
1629011,Center-Forward
1629013,Guard
1629018,Guard
1629020,Forward
1629026,Guard-Forward
1629029,Forward-Guard
1629048,Center-Forward
1629060,Forward
1629111,Center
1629130,Forward
1629216,Guard
1629312,Forward
1629614,Guard-Forward
1629618,Guard
1629622,Guard-Forward
1629630,Guard
1629674,Center
1629675,Center-Forward
1629723,Guard
1629731,Forward-Center
1629750,Guard
1630162,Guard
1630169,Guard
1630171,Forward-Guard
1630173,Forward
1630174,Guard-Forward
1630175,Guard
1630183,Forward
1630191,Forward-Center
1630192,Forward-Center
1630194,Forward
1630198,Guard
1630202,Guard
1630205,Forward
1630214,Forward
1630217,Guard
1630228,Forward
1630224,Guard
1630241,Guard
1630296,Forward
1630311,Guard
1630532,Forward
1630540,Guard
1630541,Guard
1630558,Guard
1630545,Guard-Forward
1630568,Center
1630559,Guard
1630578,Center
1630574,Center
1630579,Center
1630583,Forward-Center
1630590,Guard
1630595,Guard
1630596,Center
1630598,Guard
1630611,Forward
1630643,Center
1630692,Guard
1631094,Forward
1631096,Center-Forward
1631095,Forward
1631097,Guard-Forward
1631105,Center
1631107,Forward
1631106,Forward
1631114,Guard-Forward
1631119,Forward
1631120,Guard
1631124,Guard
1631128,Guard
1631157,Guard
1631159,Forward
1631169,Forward
1631170,Guard
1631172,Forward
1631212,Guard
1631216,Guard
1631218,Forward
1631246,Guard
1631248,Guard
1631260,Guard
1631466,Guard
1641708,Guard-Forward
1641709,Guard-Forward
1641710,Guard
1641715,Forward
1641716,Forward
1641717,Guard
1641724,Guard
1641738,Forward
1641740,Guard
1641744,Center
1641753,Forward
1641748,Guard
1641757,Guard
1641764,Guard
1641767,Guard
1641775,Guard
1641783,Forward
1641794,Forward
1641796,Guard
1641816,Forward
1641842,Forward
1641854,Guard
1642261,Forward
1642263,Guard
1642276,Center
1642265,Guard
1642277,Guard
1642278,Guard
1642281,Guard-Forward
1642349,Guard
1642352,Forward
1642353,Guard
1642355,Guard
1642359,Forward
1642366,Center
