,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,TEAM_PACE,GAME_PACE,OPP_PACE,OPP_DEF_RATING,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0,Isaac Okoro,1630171,CLE vs. ORL,CLE,1610612739,ORL,1,0042300131,2024-04-20,W,4,0,2,1,2,0.5,0,0,,2,2,1.0,0,2,1,1,0,4,12.4,1.389,0.5,,,86.1,83.2,71.1,67.0,15.1,0.0,0.069,0.039,0.0,0.5,0.0,0.077,0.694,98.23,93.72,0.145,36,78.1,0.074,240,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,17,21,97,97.24,98.72,100.2,99.75318798848211,18:57,4.24,1.44,2,5,7,14,0,0,11,0,1,0.0,1,1,1.0,0,2,0.0,2.0,0.0,2.0,2.0,6.0,9.0,4.0,14.0,0.0,2.0,1.0,0.1,0.065,0.0,0.0,0.2,0.167,0.0,0.111,0.095,0.0,0.0,0.333,0.333,0.0,0.222,0.083,0.129
1,Donte DiVincenzo,1628978,NYK vs. PHI,NYK,1610612752,PHI,1,0042300111,2024-04-20,W,8,2,2,3,10,0.3,2,5,0.4,0,0,,0,2,1,1,2,-23,17.4,0.8,0.4,G,,111.9,101.6,162.8,151.3,-50.9,0.0,0.105,0.04,0.167,0.4,1.0,0.211,0.4,90.78,83.37,0.045,42,69.47,0.209,240,36,91,0.396,16,35,0.457,23,28,0.821,23,32,55,20,6,7,11,18,111,91.32,92.0,92.68,121.55059132720105,24:28,4.03,1.76,2,3,5,48,0,1,36,1,4,0.25,2,6,0.333,3,5,0.6,0.0,0.0,3.0,2.0,14.0,6.0,9.0,30.0,1.0,0.0,1.0,0.2,0.217,0.286,0.263,0.0,0.0,0.0,0.2,0.095,0.222,0.333,0.5,0.333,0.2,0.0,0.1,0.17
2,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,27,8,6,10,16,0.625,3,5,0.6,4,5,0.8,2,4,1,1,7,-9,45.2,1.484,0.71875,F,,110.0,110.6,121.3,118.6,-11.3,0.057,0.085,0.073,0.333,0.719,1.14,0.291,0.742,95.03,94.23,0.146,80,78.53,0.296,240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,93.36,93.5,93.64,110.32562125107113,40:45,3.37,2.43,4,7,11,81,0,1,58,4,8,0.5,6,8,0.75,5,6,0.833,4.0,3.0,4.0,14.0,12.0,15.0,16.0,58.0,1.0,1.0,4.0,0.294,0.235,0.429,0.217,0.308,0.333,0.4,0.148,0.188,0.421,0.7,0.333,0.167,0.333,0.083,0.25,0.307
3,Reggie Jackson,202704,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,3,2,1,1,4,0.25,1,2,0.5,0,0,,0,1,0,0,1,2,6.2,0.75,0.375,,,105.3,100.0,94.7,98.9,10.5,0.0,0.143,0.056,0.286,0.375,2.0,0.217,0.375,101.68,101.15,0.0,19,84.29,0.227,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,93.64,93.5,93.36,121.74284493806067,9:01,4.07,0.66,0,1,1,23,0,0,17,0,0,0.0,1,4,0.25,2,2,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,0.0,2.0,0.0,0.125,0.211,0.25,0.25,0.0,0.0,0.0,0.143,0.111,0.333,0.333,0.0,0.0,0.0,0.5,0.0,0.15
4,Anthony Davis,203076,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,32,5,14,12,23,0.522,0,4,0.0,8,9,0.889,3,11,0,4,2,-12,66.3,1.187,0.5217391304347826,C,,112.6,113.3,127.9,127.0,-15.3,0.081,0.224,0.163,0.192,0.522,2.5,0.309,0.593,93.37,93.3,0.171,87,77.75,0.314,240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,93.36,93.5,93.64,110.32562125107113,44:30,3.51,2.76,6,17,23,86,0,0,52,7,13,0.538,5,10,0.5,4,7,0.571,2.0,5.0,2.0,22.0,12.0,18.0,21.0,60.0,1.0,3.0,8.0,0.316,0.311,0.0,0.16,0.533,0.529,0.5,0.367,0.389,0.238,0.182,0.0,0.667,0.25,0.2,0.421,0.327
5,Justin Holiday,203200,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,0,0,1,0,2,0.0,0,2,0.0,0,0,,1,0,0,0,0,-2,1.2,0.0,0.0,,,100.0,101.0,116.7,120.3,-16.7,0.111,0.0,0.071,0.0,0.0,0.0,0.133,0.0,96.22,98.18,-0.071,12,81.82,0.144,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,93.64,93.5,93.36,121.74284493806067,5:52,4.33,0.46,1,1,2,8,0,0,6,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.154,0.0,0.25,0.0,0.0,0.5,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0
6,Kentavious Caldwell-Pope,203484,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,12,1,2,4,11,0.364,4,10,0.4,0,0,,0,2,3,0,0,14,24.9,1.091,0.5454545454545454,G,,129.2,125.9,108.2,109.1,20.9,0.0,0.065,0.029,0.028,0.545,0.0,0.128,0.545,94.97,94.14,0.046,72,78.45,0.13,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,93.64,93.5,93.36,121.74284493806067,36:58,3.71,2.41,1,4,5,42,0,0,29,1,3,0.333,3,8,0.375,1,3,0.333,0.0,0.0,3.0,0.0,8.0,5.0,10.0,44.0,1.0,3.0,2.0,0.1,0.141,0.333,0.333,0.0,0.0,0.0,0.077,0.054,0.04,0.0,0.5,0.0,0.2,0.231,0.2,0.129
7,Spencer Dinwiddie,203915,LAL @ DEN,LAL,1610612747,DEN,0,0042300151,2024-04-20,L,0,1,2,0,0,,0,0,,0,0,,0,2,0,0,0,-12,3.9,0.0,,,,78.6,78.0,117.2,117.2,-38.7,0.0,0.133,0.069,0.125,0.0,0.0,0.0,0.0,104.66,104.29,0.036,28,86.91,0.0,240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,93.36,93.5,93.64,110.32562125107113,13:07,4.19,0.97,1,3,3,15,0,1,14,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,7.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0
8,Aaron Gordon,203932,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,12,7,11,5,11,0.455,0,3,0.0,2,2,1.0,6,5,0,0,1,20,34.7,1.01,0.45454545454545453,F,,125.8,124.0,93.5,97.4,32.3,0.176,0.179,0.177,0.25,0.455,7.0,0.178,0.505,91.56,92.75,0.135,62,77.29,0.181,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,93.64,93.5,93.36,121.74284493806067,32:05,3.89,2.2,9,7,15,44,0,0,29,2,3,0.667,3,8,0.375,0,0,0.0,2.0,6.0,2.0,10.0,2.0,5.0,6.0,34.0,0.0,2.0,2.0,0.152,0.164,0.0,0.12,1.0,1.0,0.667,0.208,0.333,0.333,0.25,0.0,0.0,0.0,0.2,0.182,0.154
9,Nikola Jokić,203999,DEN vs. LAL,DEN,1610612743,LAL,1,0042300151,2024-04-20,W,32,7,12,15,23,0.652,1,3,0.333,1,2,0.5,3,9,2,0,0,14,62.9,1.34,0.6739130434782609,C,,124.4,121.6,107.8,108.8,16.6,0.067,0.273,0.154,0.269,0.674,0.0,0.253,0.67,95.09,94.46,0.219,78,78.71,0.259,240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,93.64,93.5,93.36,121.74284493806067,39:23,3.84,2.67,6,17,23,95,1,0,65,9,13,0.692,6,10,0.6,3,5,0.6,4.0,5.0,4.0,28.0,8.0,5.0,14.0,46.0,2.0,3.0,5.0,0.366,0.271,0.083,0.091,0.333,0.5,0.231,0.321,0.293,0.269,0.0,0.333,0.0,0.333,0.214,0.417,0.33
