NAME,LINE,L-5,L-10,L-15
Onyeka Okongwu,21.5,1.0,0.5,0.6
Jalen Duren,30.5,1.0,0.8,0.6
Ryan Rollins,25.5,0.8,0.5,0.47
Jalen Johnson,33.5,0.8,0.6,0.4
Karl-Anthony Towns,32.5,0.6,0.6,0.53
Jamal Murray,26.5,0.6,0.5,0.53
Kyshawn George,21.5,0.6,0.3,0.4
Cade Cunningham,33.5,0.6,0.5,0.33
Nickeil Alexander-Walker,21.5,0.6,0.5,0.33
Franz Wagner,29.5,0.6,0.5,0.4
Desmond Bane,25.5,0.6,0.4,0.33
Trey Murphy III,27.5,0.6,0.5,0.4
Jalen Suggs,20.5,0.6,0.3,0.2
Zach LaVine,22.5,0.4,0.5,0.6
Cedric Coward,22.5,0.4,0.5,0.47
Santi Aldama,23.5,0.4,0.2,0.2
P.J. Washington,24.5,0.4,0.4,0.33
Cooper Flagg,24.5,0.4,0.4,0.4
Russell Westbrook,21.5,0.4,0.6,0.53
Derik Queen,23.5,0.4,0.3,0.2
Myles Turner,22.5,0.4,0.3,0.27
Kyle Kuzma,19.5,0.4,0.5,0.4
Jalen Brunson,31.5,0.4,0.5,0.4
Josh Giddey,30.5,0.4,0.5,0.4
Coby White,23.5,0.4,0.2,0.13
Alex Sarr,25.5,0.4,0.5,0.4
DeMar DeRozan,20.5,0.2,0.5,0.53
Bobby Portis,23.5,0.2,0.1,0.07
Zach Edey,21.5,0.0,0.0,0.0
