NAME,CATEGORY,LINE,L-5,L-10,L-15
Corey Kispert,player_threes,1.5,0.4,0.4,0.27
Brandon Ingram,player_threes,1.5,0.4,0.4,0.27
Collin Murray-Boyles,player_threes,0.5,0.4,0.3,0.2
Jake LaRavia,player_threes,1.5,0.4,0.3,0.2
Devin Vassell,player_threes,2.5,0.4,0.4,0.27
Jordan Hawkins,player_threes,1.5,0.0,0.1,0.07
Josh Giddey,player_threes,1.5,0.6,0.5,0.33
Lonzo Ball,player_threes,1.5,0.6,0.3,0.2
Pascal Siakam,player_threes,1.5,0.4,0.5,0.33
Aaron Gordon,player_threes,1.5,0.4,0.3,0.2
Bruce Brown,player_threes,0.5,0.6,0.4,0.27
